modelo_index,modelo_embedding,n,tempo_mean,tempo_std,tempo_median,tempo_min,tempo_max,mem_mean,mem_std,tempo_se,tempo_ci95
faiss_baseline,intfloat/multilingual-e5-large,100,0.04641604423522944,0.0008455758702884198,0.0463740825653076,0.0450265407562255,0.0507173538208007,0.0,0.0,8.455758702884198e-05,0.00016573287057653028
faiss_baseline,sentence-transformers/all-MiniLM-L6-v2,100,0.018302996158599802,0.0006138769591970945,0.018254041671752902,0.0171952247619628,0.0217342376708984,0.019609375,0.1608596204806654,6.138769591970946e-05,0.00012031988400263053
faiss_baseline,sentence-transformers/all-mpnet-base-v2,100,0.03480099439620967,0.000640913694170955,0.0347201824188232,0.0336716175079345,0.0376608371734619,0.015625,0.15624999999999997,6.40913694170955e-05,0.00012561908405750718
hnsw_julia,intfloat/multilingual-e5-large,100,0.11449233396,0.01468304868265239,0.111772446,0.109187987,0.215466743,0.5709375,15.249680233878316,0.001468304868265239,0.002877877541799868
hnsw_julia,sentence-transformers/all-MiniLM-L6-v2,100,0.09272497643,0.02668758120152503,0.0844398945,0.08018636,0.204890238,0.8066796875,17.580956136828302,0.002668758120152503,0.005230765915498906
hnsw_julia,sentence-transformers/all-mpnet-base-v2,100,0.1048357631,0.03162883742370545,0.0944259975,0.089881956,0.203745465,0.5825,41.71663102863463,0.0031628837423705453,0.006199252135046269
nmslib_hnsw,intfloat/multilingual-e5-large,100,0.024082500934600785,0.0010795979764099684,0.02383494377136225,0.022902488708496,0.028533935546875,0.00765625,0.09015957199164808,0.00010795979764099683,0.0002116012033763538
nmslib_hnsw,sentence-transformers/all-MiniLM-L6-v2,100,0.01815956830978389,0.010526595999431766,0.0169075727462768,0.0158562660217285,0.121859073638916,0.0590625,0.3053622175150886,0.0010526595999431766,0.0020632128158886262
nmslib_hnsw,sentence-transformers/all-mpnet-base-v2,100,0.01981634140014644,0.0011439450976077348,0.0195732116699218,0.0185236930847167,0.0263540744781494,0.00125,0.1008572297472917,0.00011439450976077347,0.000224213239131116
svs,intfloat/multilingual-e5-large,100,0.013999631404876665,0.0009959828211292992,0.0137944221496582,0.0132067203521728,0.0203971862792968,0.2984375,2.8759755392285875,9.959828211292992e-05,0.00019521263294134265
svs,sentence-transformers/all-MiniLM-L6-v2,100,0.007878980636596635,0.000789464624726298,0.0076733827590942,0.007192850112915,0.0123369693756103,0.2046875,1.9246753741678189,7.89464624726298e-05,0.00015473506644635442
svs,sentence-transformers/all-mpnet-base-v2,100,0.011129796504974311,0.0010746589743222746,0.0109162330627441,0.0105218887329101,0.0193970203399658,0.2765625,2.642320409351505,0.00010746589743222746,0.00021063315896716582
