modelo_index,intfloat/multilingual-e5-large,sentence-transformers/all-MiniLM-L6-v2,sentence-transformers/all-mpnet-base-v2
faiss_baseline,0.04641604423522944,0.018302996158599802,0.03480099439620967
hnsw_julia,0.11449233396,0.09272497643,0.1048357631
nmslib_hnsw,0.024082500934600785,0.01815956830978389,0.01981634140014644
svs,0.013999631404876665,0.007878980636596635,0.011129796504974311
