metodo,modelo_embedding,index_time,search_time,total_time,num_rows_df1,num_rows_df2,k,mem_used_indexation_MB,avg_mem_used_search_MB,matches
hnsw_julia,intfloat/multilingual-e5-large,3.059878349304199,0.16205883712999994,3.2219371864341992,10000,1000,5,0.00390625,0.0,1
baseline,intfloat/multilingual-e5-large,0.004483699798583984,0.4796509838104248,0.4841346836090088,10000,1000,5,0.0,0.0,1000
svs,intfloat/multilingual-e5-large,2.1841981410980225,0.003531816005706787,2.187729957103729,10000,1000,5,15.625,0.00875,982
NMSLIB,intfloat/multilingual-e5-large,2.7903406620025635,0.07927477598190308,2.8696154379844665,10000,1000,5,42.83203125,-0.0029296875,1000
hnsw_julia,intfloat/multilingual-e5-large,2.986572265625,0.15840310189,3.144975367515,10000,1000,5,0.0078125,-0.3906640625,1
baseline,neuralmind/bert-large-portuguese-cased,0.008973360061645508,0.47918965339660646,0.48816301345825197,10000,1000,5,39.06640625,0.0,836
svs,neuralmind/bert-large-portuguese-cased,1.5648729801177979,0.0033183956146240236,1.568191375732422,10000,1000,5,22.03515625,0.00375,744
NMSLIB,neuralmind/bert-large-portuguese-cased,1.8139467239379883,0.034850387573242186,1.8487971115112305,10000,1000,5,42.65234375,0.0008203125,830
hnsw_julia,neuralmind/bert-large-portuguese-cased,1.9267148971557617,0.10207939425,2.0287942914057617,10000,1000,5,39.07421875,0.0,1
baseline,neuralmind/bert-large-portuguese-cased,0.00750732421875,0.4781606650352478,0.4856679892539978,10000,1000,5,39.06640625,0.0,836
svs,neuralmind/bert-large-portuguese-cased,1.565680742263794,0.0032829737663269045,1.5689637160301209,10000,1000,5,17.15234375,0.0025,744
NMSLIB,neuralmind/bert-large-portuguese-cased,1.8680427074432373,0.034759247303009035,1.9028019547462462,10000,1000,5,42.92578125,-0.004296875,829
hnsw_julia,neuralmind/bert-large-portuguese-cased,1.9205236434936523,0.10243108388999998,2.0229547273836523,10000,1000,5,0.0078125,0.0,1
baseline,neuralmind/bert-large-portuguese-cased,0.007295370101928711,0.47861384391784667,0.4859092140197754,10000,1000,5,39.06640625,0.0,836
svs,neuralmind/bert-large-portuguese-cased,1.5778465270996094,0.0032949280738830567,1.5811414551734924,10000,1000,5,15.79296875,0.01125,744
NMSLIB,neuralmind/bert-large-portuguese-cased,1.8766369819641113,0.03412468671798706,1.9107616686820983,10000,1000,5,42.9296875,-0.0005859375,831
hnsw_julia,neuralmind/bert-large-portuguese-cased,1.9264402389526367,0.10317536432999994,2.0296156032826365,10000,1000,5,0.00390625,0.0,1
baseline,neuralmind/bert-large-portuguese-cased,0.007637977600097656,0.4784477543830872,0.48608573198318483,10000,1000,5,39.06640625,0.0,836
svs,neuralmind/bert-large-portuguese-cased,1.5708181858062744,0.003303053379058838,1.5741212391853332,10000,1000,5,13.47265625,0.0,744
NMSLIB,neuralmind/bert-large-portuguese-cased,1.8759396076202393,0.03486157178878784,1.9108011794090272,10000,1000,5,42.78125,0.0001953125,831
hnsw_julia,neuralmind/bert-large-portuguese-cased,1.8675453662872314,0.09950062144000002,1.9670459877272315,10000,1000,5,0.00390625,0.0,1
scann,sentence-transformers/all-MiniLM-L6-v2,0.006996870040893555,0.07618608951568603,0.08318295955657959,10000,1000,5,1.7734375,0.00625,980
scann,sentence-transformers/all-MiniLM-L6-v2,0.0033271312713623047,0.07635944366455077,0.07968657493591308,10000,1000,5,0.25,0.0,980
scann,sentence-transformers/all-MiniLM-L6-v2,0.002440929412841797,0.07629280328750611,0.0787337327003479,10000,1000,5,0.0,0.0,980
scann,sentence-transformers/all-MiniLM-L6-v2,0.0034041404724121094,0.07624228000640869,0.0796464204788208,10000,1000,5,0.25,0.0,980
scann,sentence-transformers/all-mpnet-base-v2,0.003603219985961914,0.15749985456466675,0.16110307455062867,10000,1000,5,0.125,0.0,942
scann,sentence-transformers/all-mpnet-base-v2,0.005333423614501953,0.157340145111084,0.16267356872558594,10000,1000,5,0.0,0.0,942
scann,sentence-transformers/all-mpnet-base-v2,0.00399017333984375,0.15730855464935303,0.16129872798919678,10000,1000,5,-0.00390625,0.0,942
scann,sentence-transformers/all-mpnet-base-v2,0.004221677780151367,0.1573241901397705,0.16154586791992187,10000,1000,5,0.0,0.0,942
scann,intfloat/multilingual-e5-large,0.004647493362426758,0.21534584045410157,0.21999333381652833,10000,1000,5,0.125,0.0,1000
scann,intfloat/multilingual-e5-large,0.0044097900390625,0.2149635672569275,0.21937335729599,10000,1000,5,0.125,0.0,1000
scann,intfloat/multilingual-e5-large,0.004531145095825195,0.2149998140335083,0.21953095912933349,10000,1000,5,0.0,0.0,1000
scann,intfloat/multilingual-e5-large,0.004651546478271484,0.21660198926925658,0.22125353574752807,10000,1000,5,0.125,0.0,1000
scann,neuralmind/bert-large-portuguese-cased,0.018342256546020508,0.21841618776321411,0.23675844430923462,10000,1000,5,39.87109375,0.0,832
scann,neuralmind/bert-large-portuguese-cased,0.009206771850585938,0.21571729183197022,0.22492406368255616,10000,1000,5,39.203125,0.0,832
scann,neuralmind/bert-large-portuguese-cased,0.011188030242919922,0.2161013412475586,0.2272893714904785,10000,1000,5,39.32421875,0.0,832
scann,neuralmind/bert-large-portuguese-cased,0.007873058319091797,0.21551188945770264,0.22338494777679443,10000,1000,5,39.32421875,0.0,832
